Tahun;Bulan;Tanggal;LI_00;LI_12;KI_00;KI_12;CCL_00;CCL_12;CAPE_00;CAPE_12
2013;Agustus;5;-1;-1;28;32.6;2352;1485;205;309
2013;Agustus;6;0;-2;27.5;18;1295;1515;;1279
2013;Agustus;7;2;-3;10.7;30.4;1358;1410;;1005
2013;Agustus;8;0;0;23;34.2;1804;1229;59;90
2013;Agustus;9;0;-3;27.9;29.6;2876;1798;41;943
2013;Agustus;10;1;;23.9;;1352;;;
2013;Agustus;11;1;3;-2.3;-15.6;2105;3952;;
2013;Agustus;12;7;3;-19.3;-13.1;4281;3715;;6
2013;Agustus;13;6;2;-18.3;-5.7;3746;3576;;
2013;Agustus;14;3;-2;24.8;23.7;1883;3531;;112
2013;Agustus;15;0;-4;35.6;30.6;1976;1473;170;1654
2013;Agustus;16;-1;-2;33.1;32.8;2100;2083;142;205
2013;Agustus;17;-2;-2;32.4;4.1;1706;1721;89;370
2013;Agustus;18;0;0;-0.9;-8.2;1928;1838;2;493
2013;Agustus;19;2;2;-12.1;16.5;3511;1867;;8
2013;Agustus;20;3;2;4.5;13.3;2353;2644;;64
2013;Agustus;21;1;0;14.9;15.1;2704;1877;;147
2013;Agustus;22;3;-2;7.5;28.2;2503;1598;;373
2013;Agustus;23;3;0;4.3;2.7;1764;3104;;
2013;Agustus;24;2;-1;-3.1;-0.5;2441;1727;;381
2013;Agustus;25;2;2;-6.5;-5;1269;2442;;9
2013;Agustus;26;4;3;-4.3;4.3;1932;2868;;
2013;Agustus;27;0;0;21.9;25.4;2225;1632;2;373
2013;Agustus;28;0;0;23.5;26.7;2572;2989;12;
2013;Agustus;29;-4;-4;26.1;34.9;1699;1842;271;1168
2013;Agustus;30;-4;-5;33.5;24.4;1947;1209;1378;2620
2013;Agustus;31;-4;;20;;1575;;1041;
2014;Juni;1;2.7;-2.6;16.9;11.5;2429;2536;0;1
2014;Juni;2;-1.5;-0.5;30.5;32.6;1661;1788;2;10
2014;Juni;3;-2.3;;34.8;;1433;;1083;
2014;Juni;4;;-3.6;;32.9;1219;2529;16;2150
2014;Juni;5;-3.5;-1.7;29.6;27.6;1455;1600;24;41
2014;Juni;6;-2.3;-2.3;20.6;18.6;1508;1397;52;73
2014;Juni;7;2.1;-1.5;18.1;15.7;1773;2439;;38
2014;Juni;8;-1.6;-1;17.4;30.9;1358;2176;21;137
2014;Juni;9;-2.1;-5.6;32.4;34.2;906;1338;11;60
2014;Juni;10;-0.8;;34.6;;1235;;35;
2014;Juni;11;-3.7;2.2;31.1;40.8;1334;1421;1560;0
2014;Juni;12;-2;-2.9;30.9;34.3;1732;1296;559;1447
2014;Juni;13;0.1;-1.9;32;30;1546;1870;56;13510
2014;Juni;14;-3.6;1;28.2;27.2;1586;1971;1053;2
2014;Juni;15;-1.2;-3.3;23.6;35.9;2035;1114;225;1434
2014;Juni;16;-3.3;-1.7;35.7;34.4;1615;1560;1001;727
2014;Juni;17;-1.3;-5.1;35.1;37.5;661;950;1892;2663
2014;Juni;18;;-4.7;;34.3;;1354;;2509
2014;Juni;19;-1.1;-4.1;26.4;28.3;1187;1331;1;2440
2014;Juni;20;-4.1;-2.5;28.3;30.4;1331;2505;2440;776
2014;Juni;21;-3.7;-4.6;30.5;33.8;851;1799;1774;2140
2014;Juni;22;-1.3;-5.2;32.7;38;1435;1734;112;2381
2014;Juni;23;-3.3;-4.6;31.6;30.1;1424;1069;1568;2994
2014;Juni;24;-4.9;-5.6;33.3;37.2;1129;1112;2638;2628
2014;Juni;25;-2.2;-3;34.1;34.3;983;1237;340;1950
2014;Juni;26;-3.6;-0.4;34.2;33.3;1934;1802;1698;1
2014;Juni;27;-5;-3;20.3;23.2;1103;1307;47;1627
2014;Juni;28;;1;;23.7;;1272;;0
2014;Juni;29;-1.8;-0.4;23.6;28.4;1378;1412;16;71
2014;Juni;30;0.7;1.1;14.2;18.4;1389;1643;28;41
2014;Juli;1;2.8;-1.9;23.2;34.8;1446;1570;0;1274
2014;Juli;2;-4.3;-0.7;34.6;32.9;1653;1314;629;85
2014;Juli;3;-2.6;-2.8;34.1;34;1320;1154;115;2015
2014;Juli;4;-3;0.3;38;35.9;1326;1438;1337;42
2014;Juli;5;-1.5;-0.8;31;28;1126;1194;472;1538
2014;Juli;6;-0.7;-3.6;32;36.7;1062;1456;307;331
2014;Juli;7;-2.4;-4.3;28.6;23.3;1390;1430;23;87
2014;Juli;8;0.5;-0.7;6.3;28.4;1589;1252;32;149
2014;Juli;9;2.1;-0.8;24.4;25.6;1251;1568;18;59
2014;Juli;10;-0.1;-2.2;30;28.6;1468;2310;2;8
2014;Juli;11;-0.5;-5.2;29.3;33.7;1879;1595;6;2083
2014;Juli;12;-2;-4.4;36.1;30.5;1681;1524;283;2377
