Tahun;Bulan;Tanggal;LI_00;LI_12;KI_00;KI_12;CCL_00;CCL_12;CAPE_00;CAPE_12
2013;Februari;16;-2.1;-2.3;35.2;33.6;2147;2018;280;495
2013;Februari;17;-2.3;-3.7;34.2;35.2;1830;2076;1025;1817
2013;Februari;18;-4;-3.8;34.7;28.5;1355;2558;2156;1720
2013;Februari;19;-2.6;-4.6;34.7;31.5;1884;2156;636;2018
2013;Februari;20;-3.3;-3.3;35.3;33.3;1653;1843;965;1368
2013;Februari;21;-3.2;-2.7;37;26;1569;1821;457;688
2013;Februari;22;-2.6;-3;28.7;33.3;1825;1600;1175;2182
2013;Februari;23;-0.7;-2;33.1;31.4;1754;1343;6;49
2013;Februari;24;-3.1;-4.2;30.6;36.3;1965;1770;1135;1949
2013;Februari;25;-1.4;-4.8;30.3;33.2;2282;1654;536;2271
2013;Februari;26;-5.7;-4;34.2;36.6;1968;1145;2635;1723
2013;Februari;27;-2.1;-6.6;29.7;37.8;2040;1774;838;3356
2013;Februari;28;-2.7;-0.2;28.9;35.8;2029;1680;835;206
2013;Desember;1;-1;-2;24.5;39;1347;1155;168;517
2013;Desember;2;-3;-5;37.4;37.4;1203;1533;1516;1649
2013;Desember;3;-4;-2;34.5;32;1590;1408;1545;746
2013;Desember;4;-4;-5;34;36.9;1498;1454;2013;2319
2013;Desember;5;-4;-4;36.7;35;1296;1976;2001;1374
2013;Desember;6;-3;-6;33.8;36.3;1473;1320;1499;2753
2013;Desember;7;-4;-2;35.5;37.9;1690;1411;1647;350
2013;Desember;8;-2;-2;34.9;36.2;2402;1134;490;875
2013;Desember;9;-4;-1;37.4;37.9;1233;982;1605;120
2013;Desember;10;-4;-6;36;33.2;1735;1337;1549;3509
2013;Desember;11;-6;-6;38.2;36.2;1465;1301;2526;2804
2013;Desember;12;-3;-3;38;33.2;1210;1423;775;914
2013;Desember;13;-5;-5;35.8;35.4;1209;1178;1854;2814
2013;Desember;14;-3;-2;37.5;34.3;1292;1297;1001;349
2013;Desember;15;-2;-3;35;36.3;1683;1179;842;961
2013;Desember;16;7;-3;38.5;37.5;1301;1426;;638
2013;Desember;17;-3;-3;34.4;39;1439;973;1529;867
2013;Desember;18;-3;-2;35.1;37.4;1377;1250;1084;762
2013;Desember;19;-3;-5;37.3;36.2;1556;1667;984;2216
2013;Desember;20;-4.1;-1;34.6;37.1;1807;1340;353;205
2013;Desember;21;-3;-1;35.9;38.5;1439;1000;939;287
2013;Desember;22;-1;1;36.9;38.2;1142;1018;289;50
2013;Desember;23;-1;0;34.9;36.5;1279;1483;499;124
2013;Desember;24;-4;-1;34.6;35.4;1444;1578;1107;265
2013;Desember;25;0;1;36.8;33.6;1226;2025;126;89
2013;Desember;26;0;-5;-0.7;34.1;2041;1793;574;2511
2013;Desember;27;2;-3;-8.9;11.1;2185;1500;;1896
2013;Desember;28;0;-3;4.3;12.6;3062;1935;54;2162
2013;Desember;29;2;-1;10.5;32.2;3399;1453;;787
2013;Desember;30;-1;-1;33;37.1;1384;1137;547;234
2013;Desember;31;-2;-1;33.8;37.1;1602;1137;192;234
2014;Januari;1;;-0.3;;35.3;;1700;;71
2014;Januari;2;-1.1;-2.5;31.9;34;2021;1427;42;82
2014;Januari;3;-2;-3.2;35.1;33.6;1673;1541;505;1147
2014;Januari;4;-1.3;-1;36.2;33.9;1425;1407;491;163
2014;Januari;5;-2.9;-2.6;37.7;38.3;1595;1046;554;868
2014;Januari;6;-2.6;-1;33.2;34.4;1366;1190;857;206
2014;Januari;7;-2.8;-0.9;33.9;32.9;1465;1799;1740;6
2014;Januari;8;-3.7;-7.6;35.6;34.4;1290;1328;1521;4330
2014;Januari;9;-4.3;-4.9;34.1;34.4;1948;1674;1235;2768
2014;Januari;10;-5.8;-5.3;34.8;32;1059;1460;3049;2443
2014;Januari;11;-4.5;-0.4;35.8;38.2;1317;1487;1934;125
2014;Januari;12;-2.1;-1.9;32.8;35;1378;1642;785;496
2014;Januari;13;-1.9;-1.5;21.3;34.5;1645;2005;903;209
2014;Januari;14;-2.5;-1;35.5;30.1;2048;2261;724;237
2014;Januari;15;-3.3;-2;35;35.5;1254;1916;1236;570
2014;Januari;16;-1.3;-4.6;31.5;34.7;3781;1148;126;2222
2014;Januari;17;-1.9;-1.9;21.3;21.7;1645;1971;903;425
2014;Januari;18;-1.8;-1.7;36.5;36;1665;1349;221;291
2014;Januari;19;-1.2;-3.8;35.7;33.8;1422;1421;144;1390
2014;Januari;20;-0.8;;36.2;;3357;;1;
2014;Januari;21;-1.2;-3.3;36.2;37;1210;1158;195;1261
2014;Januari;22;-0.9;-3.5;32;38.9;1384;1350;4;1568
2014;Januari;23;-1.5;-0.2;36.1;35.9;1063;1381;707;11
2014;Januari;24;-2.9;-1.1;35.6;34.5;1708;1382;482;4
2014;Januari;25;-1.2;-0.8;33.8;37.3;1228;1224;7;14
2014;Januari;26;-1.7;0.2;28.9;36.5;1319;1416;427;1
2014;Januari;27;-0.8;-5.5;32.8;34.7;1498;651;669;3136
2014;Januari;28;-2.5;-4.2;33.3;38.9;1207;1504;674;1779
2014;Januari;29;-2.6;-4.7;38.3;42;1737;925;764;1211
2014;Januari;30;0.3;-1.3;30.2;37.7;1676;1192;28;159
2014;Januari;31;-2.1;-2.2;38;39.6;1443;961;69;446
2014;Februari;1;-1.6;-3;33.4;38.4;1101;561;4;31
2014;Februari;2;-2.4;-3.8;39.3;37.9;962;956;487;1565
2014;Februari;3;0.1;-0.8;35.8;37.3;1528;117;36;15
2014;Februari;4;-3;0.1;37.8;38;993;1654;1340;34
2014;Februari;5;-2.4;-5.3;36;33;1671;1785;344;2265
2014;Februari;6;-1.2;-1.1;35.6;34.8;1425;1767;654;327
2014;Februari;7;-0.6;-3.2;32.1;37.9;1162;1389;599;1852
2014;Februari;8;-3;-4.3;36.3;37;1247;1082;1013;2192
2014;Februari;9;-1.1;;39.7;;961;;31;
2014;Februari;10;-2.3;1.1;33.4;30.2;1465;2150;743;0
2014;Februari;11;-4.1;-5.2;32.3;27.5;1756;1209;1307;2464
2014;Februari;12;-0.4;-5;15.9;27.6;2146;1236;474;2472
2014;Februari;13;-3.4;-2.6;37.3;38.2;617;1283;940;682
2014;Februari;14;-5;-0.9;30.7;33.5;1268;2176;2207;89
2014;Februari;15;-1.2;-1.7;28.8;33.8;1552;1884;418;693
2014;Februari;16;-0.2;-0.8;31.3;36.5;1871;1236;6;96
2014;Februari;17;-2.5;-1.9;35.8;34.2;2139;1402;493;49
2014;Februari;18;-2.4;-2.5;34.3;36;1610;36;726;422
2014;Februari;19;1.5;-2.4;34.4;32.4;1532;1416;0;596
2014;Februari;20;-4.1;-5.9;31.7;33.9;1862;1443;901;2491
2014;Februari;21;-2.1;-3;23.8;33;1531;1655;3;897
2014;Februari;22;-2.1;0;34.5;6;1731;1214;778;13
2014;Februari;23;-0.3;-2.2;33.3;36.1;1887;1195;115;391
2014;Februari;24;-1;-2.3;33;39.2;1838;1169;153;677
2014;Februari;25;-2.9;-0.7;34.9;36;1614;1527;1390;20
2014;Februari;26;-2.4;-4.1;27.8;32.6;1922;1865;815;1861
2014;Februari;27;-1.6;-5.2;29.9;34.4;2294;1521;745;2108
2014;Februari;28;-3.4;-4.6;37.9;39.8;1830;1234;1029;1329
2014;Desember;1;-1.9;0.5;37.1;33.7;1855;2637;641;2
2014;Desember;2;-2.5;-2.6;36.5;40.1;2125;1487;708;983
2014;Desember;3;-3.7;-2.4;35.7;32;1500;1400;1686;1171
2014;Desember;4;-3.1;;36;;1478;1599;502;
