Tahun;Bulan;Tanggal;LI_00;LI_12;KI_00;KI_12;CCL_00;CCL_12;CAPE_00;CAPE_12
2014;April;2;-3.7;-4.5;24.3;28.5;2034;1996;17;2032
2014;April;3;-3.7;-2.7;27.2;25.7;1723;1916;1267;1077
2014;April;4;-2.5;-5.3;34.2;35.5;17565;1502;1232;3188
2014;April;5;-2.2;-1.9;34;27.6;1211;1285;715;905
2014;April;6;3.5;-5.6;33.2;32;1320;1867;1522;3334
2014;April;7;-4.3;-4.4;32.4;36.2;1492;1439;1914;2737
2014;April;8;-1.8;-1.9;29.3;37.9;1654;2133;671;137
2014;April;9;-2.7;-6.3;22.1;40;1951;1350;5;21
2014;April;10;-2.1;-1.4;18.6;33.9;1447;1507;1;453
2014;April;11;-4.4;-6.2;36.3;36.9;1272;1215;1486;3170
2014;April;12;-4.9;-1.7;34.8;37.5;1469;1245;1500;711
2014;April;13;-2.7;-3.5;35;36;1996;1624;746;1257
2014;April;14;-3.4;-4.9;36;36.9;1725;1528;778;2213
2014;April;15;-2.9;-2.1;36.6;37.9;1879;1508;576;532
2014;April;16;-3.4;-4;36.6;35.8;1527;1339;1328;1880
2014;April;17;-1.3;-2.7;8.4;21.5;1641;1683;17;45
2014;April;18;-0.8;-4.7;26.7;33.3;1949;1740;1;2421
2014;April;19;-3;-5.3;29.8;32.2;1328;1306;31;2255
2014;April;20;-1.5;-5.9;32.4;33.8;1203;1688;26;3285
2014;April;21;-3.1;-2.1;30;27.4;1471;2606;1607;832
2014;April;22;-1;-3.7;31.3;39.6;2110;1296;325;1332
2014;April;23;-1.4;-2.8;35.1;37.9;1490;1161;360;1534
2014;April;24;-3.6;-1;33.2;37.2;1105;1313;2300;664
2014;April;25;-5;-7.7;37.1;38.4;1700;1345;2081;4006
2014;April;26;-2.1;-2.8;34.9;38.8;1947;1628;1212;497
2014;April;27;-5.6;-4.4;38.5;36.9;987;1471;2539;1932
2014;April;28;-3.1;-5.1;33.1;15.2;1851;1531;1544;3169
2014;April;29;-2.4;-3.9;23.3;21.1;1305;1513;549;1959
